序号,Trinity ID,显示名,厂商,价格档位,上游模型ID,厂商官方价,供应商挂牌(元/百万tokens),供应商vs官方,折扣,成本(元/百万tokens)
43,glm-5.2,智谱 GLM-5.2,火山方舟,标准价,glm-5.2,入 ¥8 · 出 ¥28 · 缓 ¥2,入 ¥8 · 出 ¥28 · 缓 ¥2,✅ 一致,—,—
44,glm-4-7-251222,智谱 GLM-4.7,火山方舟,输入≤32k·输出≤0.2k,glm-4.7,入 ¥2 · 出 ¥8 · 缓 ¥0.4,入 ¥2 · 出 ¥8 · 缓 ¥0.4,✅ 一致,—,—
45,,,,输入≤32k·输出≤0.2k,glm-4.7,入 ¥2 · 出 ¥8 · 缓 ¥0.4,入 ¥3 · 出 ¥14 · 缓 ¥0.6,⚠ 入+50% 出+75% 缓+50%,—,—
46,,,,"输入(32k,200k]",glm-4.7,入 ¥4 · 出 ¥16 · 缓 ¥0.8,入 ¥4 · 出 ¥16 · 缓 ¥0.8,✅ 一致,—,—
47,deepseek-v4-pro,DeepSeek deepseek-v4-pro,火山方舟,标准价,deepseek-v4-pro,入 ¥3 · 出 ¥6 · 缓 ¥0.025,入 ¥12 · 出 ¥24 · 缓 ¥1,⚠ 入+300% 出+300% 缓+3900%,—,—
48,deepseek-v4-flash,DeepSeek deepseek-v4-flash,火山方舟,标准价,deepseek-v4-flash,入 ¥1 · 出 ¥2 · 缓 ¥0.02,入 ¥1 · 出 ¥2 · 缓 ¥0.2,⚠ 缓+900%,—,—
49,deepseek-v3.2,DeepSeek deepseek-v3.2,火山方舟,输入≤32k,deepseek-v3.2,入 ¥2 · 出 ¥3 · 缓 ¥0.4,入 ¥2 · 出 ¥3 · 缓 ¥0.4,✅ 一致,—,—
50,,,,"输入(32k,128k]",deepseek-v3.2,入 ¥2 · 出 ¥3 · 缓 ¥0.4,入 ¥4 · 出 ¥6 · 缓 ¥0.4,⚠ 入+100% 出+100%,—,—
51,,DeepSeek deepseek-v3.1,火山方舟,标准价,deepseek-v3.1,—,入 ¥4 · 出 ¥12 · 缓 ¥0.8,—,—,—
52,,DeepSeek deepseek-v3,火山方舟,标准价,deepseek-v3,—,入 ¥2 · 出 ¥8 · 缓 ¥0.4,—,—,—
53,,DeepSeek deepseek-r1,火山方舟,标准价,deepseek-r1,—,入 ¥4 · 出 ¥16 · 缓 ¥0.8,—,—,—
